date,value
2001-01-01,888
2001-02-01,1032
2001-03-01,901
2001-04-01,834
2001-05-01,750
2001-06-01,768
2001-07-01,756
2001-08-01,594
2001-09-01,644
2001-10-01,576
2001-11-01,604
2001-12-01,585
2002-01-01,592
2002-02-01,418
2002-03-01,548
2002-04-01,541
2002-05-01,567
2002-06-01,514
2002-07-01,543
2002-08-01,617
2002-09-01,572
2002-10-01,645
2002-11-01,590
2002-12-01,559
2003-01-01,684
2003-02-01,623
2003-03-01,575
2003-04-01,523
2003-05-01,640
2003-06-01,660
2003-07-01,538
2003-08-01,609
2003-09-01,583
2003-10-01,585
2003-11-01,627
2003-12-01,634
2004-01-01,556
2004-02-01,620
2004-03-01,570
2004-04-01,624
2004-05-01,676
2004-06-01,584
2004-07-01,686
2004-08-01,642
2004-09-01,679
2004-10-01,777
2004-11-01,673
2004-12-01,881
2005-01-01,732
2005-02-01,750
2005-03-01,736
2005-04-01,714
2005-05-01,663
2005-06-01,764
2005-07-01,837
2005-08-01,777
2005-09-01,818
2005-10-01,705
2005-11-01,783
2005-12-01,750
2006-01-01,748
2006-02-01,770
2006-03-01,853
2006-04-01,923
2006-05-01,855
2006-06-01,919
2006-07-01,949
2006-08-01,948
2006-09-01,911
2006-10-01,844
2006-11-01,861
2006-12-01,795
2007-01-01,957
2007-02-01,861
2007-03-01,1004
2007-04-01,953
2007-05-01,909
2007-06-01,959
2007-07-01,814
2007-08-01,742
2007-09-01,845
2007-10-01,1049
2007-11-01,995
2007-12-01,1036
2008-01-01,988
2008-02-01,967
2008-03-01,920
2008-04-01,838
2008-05-01,821
2008-06-01,736
2008-07-01,665
2008-08-01,659
2008-09-01,631
2008-10-01,577
2008-11-01,527
2008-12-01,578
2009-01-01,536
2009-02-01,533
2009-03-01,452
2009-04-01,438
2009-05-01,446
2009-06-01,405
2009-07-01,449
2009-08-01,420
2009-09-01,464
2009-10-01,413
2009-11-01,435
2009-12-01,432
2010-01-01,457
2010-02-01,430
2010-03-01,390
2010-04-01,513
2010-05-01,603
2010-06-01,582
2010-07-01,621
2010-08-01,641
2010-09-01,634
2010-10-01,652
2010-11-01,700
2010-12-01,579
2011-01-01,538
2011-02-01,610
2011-03-01,641
2011-04-01,590
2011-05-01,585
2011-06-01,676
2011-07-01,790
2011-08-01,669
2011-09-01,891
2011-10-01,708
2011-11-01,667
2011-12-01,847
2012-01-01,948
2012-02-01,747
2012-03-01,837
2012-04-01,772
2012-05-01,750
2012-06-01,774
2012-07-01,740
2012-08-01,730
2012-09-01,694
2012-10-01,755
2012-11-01,749
2012-12-01,697
2013-01-01,776
2013-02-01,757
2013-03-01,750
2013-04-01,761
2013-05-01,788
2013-06-01,749
2013-07-01,696
2013-08-01,809
2013-09-01,751
2013-10-01,819
2013-11-01,745
2013-12-01,774
2014-01-01,713
2014-02-01,848
2014-03-01,773
2014-04-01,842
2014-05-01,857
2014-06-01,916
2014-07-01,908
2014-08-01,967
2014-09-01,941
2014-10-01,956
2014-11-01,970
2014-12-01,1041
2015-01-01,1028
2015-02-01,1082
2015-03-01,1101
2015-04-01,1239
2015-05-01,1235
2015-06-01,1109
2015-07-01,1146
2015-08-01,1091
2015-09-01,1110
2015-10-01,1212
2015-11-01,1285
2015-12-01,1199
2016-01-01,1310
2016-02-01,1236
2016-03-01,1471
2016-04-01,1049
2016-05-01,1163
2016-06-01,1143
2016-07-01,1248
2016-08-01,1105
2016-09-01,1204
2016-10-01,985
2016-11-01,1227
2016-12-01,1081
2017-01-01,984
2017-02-01,986
2017-03-01,1009
2017-04-01,1047
2017-05-01,1010
2017-06-01,1237
2017-07-01,1131
2017-08-01,1110
2017-09-01,1113
2017-10-01,1323
2017-11-01,1034
2017-12-01,971
2018-01-01,1118
2018-02-01,1108
2018-03-01,1185
2018-04-01,1196
2018-05-01,1239
2018-06-01,1268
2018-07-01,1253
2018-08-01,1331
2018-09-01,1342
2018-10-01,1344
2018-11-01,1343
2018-12-01,1351
2019-01-01,1391
2019-02-01,1387
2019-03-01,1347
2019-04-01,1169
2019-05-01,1277
2019-06-01,1279
2019-07-01,1252
