date,value
2001-01-01,482
2001-02-01,479
2001-03-01,445
2001-04-01,490
2001-05-01,486
2001-06-01,531
2001-07-01,509
2001-08-01,487
2001-09-01,434
2001-10-01,458
2001-11-01,486
2001-12-01,449
2002-01-01,410
2002-02-01,498
2002-03-01,448
2002-04-01,446
2002-05-01,452
2002-06-01,405
2002-07-01,440
2002-08-01,444
2002-09-01,390
2002-10-01,384
2002-11-01,427
2002-12-01,372
2003-01-01,435
2003-02-01,386
2003-03-01,365
2003-04-01,340
2003-05-01,333
2003-06-01,401
2003-07-01,345
2003-08-01,314
2003-09-01,335
2003-10-01,382
2003-11-01,313
2003-12-01,326
2004-01-01,329
2004-02-01,351
2004-03-01,366
2004-04-01,353
2004-05-01,367
2004-06-01,335
2004-07-01,332
2004-08-01,326
2004-09-01,346
2004-10-01,386
2004-11-01,358
2004-12-01,400
2005-01-01,314
2005-02-01,368
2005-03-01,352
2005-04-01,353
2005-05-01,349
2005-06-01,357
2005-07-01,392
2005-08-01,384
2005-09-01,399
2005-10-01,365
2005-11-01,368
2005-12-01,435
2006-01-01,397
2006-02-01,376
2006-03-01,419
2006-04-01,422
2006-05-01,429
2006-06-01,413
2006-07-01,488
2006-08-01,432
2006-09-01,473
2006-10-01,407
2006-11-01,438
2006-12-01,442
2007-01-01,460
2007-02-01,438
2007-03-01,435
2007-04-01,434
2007-05-01,435
2007-06-01,444
2007-07-01,449
2007-08-01,460
2007-09-01,448
2007-10-01,429
2007-11-01,452
2007-12-01,441
2008-01-01,413
2008-02-01,430
2008-03-01,422
2008-04-01,422
2008-05-01,441
2008-06-01,434
2008-07-01,411
2008-08-01,384
2008-09-01,379
2008-10-01,382
2008-11-01,385
2008-12-01,329
2009-01-01,359
2009-02-01,368
2009-03-01,362
2009-04-01,358
2009-05-01,274
2009-06-01,324
2009-07-01,286
2009-08-01,304
2009-09-01,287
2009-10-01,382
2009-11-01,351
2009-12-01,330
2010-01-01,404
2010-02-01,343
2010-03-01,408
2010-04-01,623
2010-05-01,385
2010-06-01,301
2010-07-01,324
2010-08-01,346
2010-09-01,337
2010-10-01,345
2010-11-01,337
2010-12-01,399
2011-01-01,338
2011-02-01,316
2011-03-01,323
2011-04-01,341
2011-05-01,298
2011-06-01,359
2011-07-01,332
2011-08-01,329
2011-09-01,397
2011-10-01,367
2011-11-01,357
2011-12-01,364
2012-01-01,349
2012-02-01,395
2012-03-01,396
2012-04-01,367
2012-05-01,397
2012-06-01,387
2012-07-01,379
2012-08-01,420
2012-09-01,383
2012-10-01,380
2012-11-01,364
2012-12-01,408
2013-01-01,456
2013-02-01,421
2013-03-01,395
2013-04-01,421
2013-05-01,410
2013-06-01,400
2013-07-01,376
2013-08-01,393
2013-09-01,396
2013-10-01,395
2013-11-01,405
2013-12-01,347
2014-01-01,389
2014-02-01,402
2014-03-01,425
2014-04-01,435
2014-05-01,441
2014-06-01,514
2014-07-01,475
2014-08-01,438
2014-09-01,468
2014-10-01,435
2014-11-01,472
2014-12-01,505
2015-01-01,526
2015-02-01,515
2015-03-01,501
2015-04-01,521
2015-05-01,523
2015-06-01,471
2015-07-01,548
2015-08-01,494
2015-09-01,470
2015-10-01,527
2015-11-01,523
2015-12-01,541
2016-01-01,515
2016-02-01,488
2016-03-01,496
2016-04-01,502
2016-05-01,538
2016-06-01,479
2016-07-01,587
2016-08-01,511
2016-09-01,527
2016-10-01,484
2016-11-01,577
2016-12-01,560
2017-01-01,497
2017-02-01,505
2017-03-01,506
2017-04-01,543
2017-05-01,551
2017-06-01,574
2017-07-01,548
2017-08-01,503
2017-09-01,563
2017-10-01,553
2017-11-01,535
2017-12-01,578
2018-01-01,591
2018-02-01,596
2018-03-01,628
2018-04-01,593
2018-05-01,596
2018-06-01,646
2018-07-01,646
2018-08-01,725
2018-09-01,617
2018-10-01,616
2018-11-01,676
2018-12-01,680
2019-01-01,693
2019-02-01,687
2019-03-01,715
2019-04-01,735
2019-05-01,674
2019-06-01,745
2019-07-01,649
2019-08-01,747
2019-09-01,740
2019-10-01,785
2019-11-01,764
2019-12-01,748
2020-01-01,820
2020-02-01,771
2020-03-01,713
2020-04-01,651
2020-05-01,621
2020-06-01,665
2020-07-01,818
2020-08-01,707
2020-09-01,708
2020-10-01,732
2020-11-01,676
2020-12-01,664
2021-01-01,759
2021-02-01,695
2021-03-01,863
2021-04-01,966
2021-05-01,898
2021-06-01,935
2021-07-01,944
2021-08-01,856
2021-09-01,957
2021-10-01,980
2021-11-01,980
2021-12-01,1090
2022-01-01,1016
2022-02-01,1061
2022-03-01,1029
2022-04-01,1066
2022-05-01,1063
2022-06-01,984
2022-07-01,1227
2022-08-01,954
2022-09-01,1066
2022-10-01,991
2022-11-01,1035
2022-12-01,1027
2023-01-01,1073
2023-02-01,1010
2023-03-01,1038
2023-04-01,1064
2023-05-01,1075
2023-06-01,1134
2023-07-01,1004
2023-08-01,1050
2023-09-01,1001
2023-10-01,969
2023-11-01,1020
2023-12-01,981
2024-01-01,891
2024-02-01,924
2024-03-01,992
2024-04-01,855
2024-05-01,1049
2024-06-01,957
2024-07-01,919
2024-08-01,1011
2024-09-01,862
2024-10-01,900
2024-11-01,869
2024-12-01,874
2025-01-01,902
2025-02-01,892
2025-03-01,858
2025-04-01,833
2025-05-01,836
2025-06-01,821
2025-07-01,807
2025-08-01,770
2025-09-01,787
2025-10-01,784
2025-11-01,701
2025-12-01,738
