date,value
2001-01-01,337
2001-02-01,366
2001-03-01,346
2001-04-01,334
2001-05-01,367
2001-06-01,361
2001-07-01,350
2001-08-01,363
2001-09-01,307
2001-10-01,325
2001-11-01,319
2001-12-01,334
2002-01-01,323
2002-02-01,316
2002-03-01,331
2002-04-01,340
2002-05-01,347
2002-06-01,315
2002-07-01,331
2002-08-01,349
2002-09-01,323
2002-10-01,337
2002-11-01,348
2002-12-01,318
2003-01-01,349
2003-02-01,301
2003-03-01,294
2003-04-01,309
2003-05-01,281
2003-06-01,317
2003-07-01,326
2003-08-01,252
2003-09-01,275
2003-10-01,346
2003-11-01,287
2003-12-01,325
2004-01-01,297
2004-02-01,319
2004-03-01,354
2004-04-01,325
2004-05-01,300
2004-06-01,293
2004-07-01,305
2004-08-01,310
2004-09-01,334
2004-10-01,335
2004-11-01,350
2004-12-01,334
2005-01-01,355
2005-02-01,328
2005-03-01,315
2005-04-01,334
2005-05-01,317
2005-06-01,300
2005-07-01,355
2005-08-01,321
2005-09-01,327
2005-10-01,317
2005-11-01,344
2005-12-01,347
2006-01-01,319
2006-02-01,353
2006-03-01,379
2006-04-01,348
2006-05-01,354
2006-06-01,362
2006-07-01,370
2006-08-01,369
2006-09-01,419
2006-10-01,307
2006-11-01,352
2006-12-01,333
2007-01-01,360
2007-02-01,370
2007-03-01,369
2007-04-01,378
2007-05-01,386
2007-06-01,382
2007-07-01,325
2007-08-01,400
2007-09-01,391
2007-10-01,330
2007-11-01,337
2007-12-01,348
2008-01-01,309
2008-02-01,322
2008-03-01,332
2008-04-01,303
2008-05-01,321
2008-06-01,331
2008-07-01,304
2008-08-01,292
2008-09-01,281
2008-10-01,300
2008-11-01,274
2008-12-01,272
2009-01-01,295
2009-02-01,271
2009-03-01,253
2009-04-01,374
2009-05-01,262
2009-06-01,263
2009-07-01,256
2009-08-01,281
2009-09-01,234
2009-10-01,328
2009-11-01,288
2009-12-01,251
2010-01-01,289
2010-02-01,284
2010-03-01,344
2010-04-01,338
2010-05-01,735
2010-06-01,278
2010-07-01,281
2010-08-01,266
2010-09-01,250
2010-10-01,309
2010-11-01,279
2010-12-01,285
2011-01-01,286
2011-02-01,227
2011-03-01,251
2011-04-01,268
2011-05-01,239
2011-06-01,291
2011-07-01,242
2011-08-01,241
2011-09-01,270
2011-10-01,269
2011-11-01,272
2011-12-01,294
2012-01-01,285
2012-02-01,300
2012-03-01,296
2012-04-01,291
2012-05-01,306
2012-06-01,319
2012-07-01,295
2012-08-01,315
2012-09-01,280
2012-10-01,269
2012-11-01,276
2012-12-01,290
2013-01-01,283
2013-02-01,296
2013-03-01,270
2013-04-01,290
2013-05-01,288
2013-06-01,244
2013-07-01,270
2013-08-01,299
2013-09-01,293
2013-10-01,281
2013-11-01,296
2013-12-01,280
2014-01-01,289
2014-02-01,291
2014-03-01,307
2014-04-01,298
2014-05-01,285
2014-06-01,326
2014-07-01,287
2014-08-01,267
2014-09-01,334
2014-10-01,306
2014-11-01,296
2014-12-01,318
2015-01-01,316
2015-02-01,320
2015-03-01,328
2015-04-01,349
2015-05-01,323
2015-06-01,336
2015-07-01,352
2015-08-01,341
2015-09-01,323
2015-10-01,360
2015-11-01,352
2015-12-01,371
2016-01-01,353
2016-02-01,344
2016-03-01,364
2016-04-01,342
2016-05-01,359
2016-06-01,353
2016-07-01,405
2016-08-01,351
2016-09-01,395
2016-10-01,315
2016-11-01,332
2016-12-01,332
2017-01-01,352
2017-02-01,346
2017-03-01,336
2017-04-01,335
2017-05-01,349
2017-06-01,339
2017-07-01,348
2017-08-01,309
2017-09-01,355
2017-10-01,355
2017-11-01,370
2017-12-01,360
2018-01-01,327
2018-02-01,353
2018-03-01,340
2018-04-01,350
2018-05-01,354
2018-06-01,387
2018-07-01,346
2018-08-01,389
2018-09-01,338
2018-10-01,346
2018-11-01,365
2018-12-01,368
2019-01-01,376
2019-02-01,359
2019-03-01,357
2019-04-01,372
2019-05-01,324
2019-06-01,367
2019-07-01,347
2019-08-01,412
2019-09-01,365
2019-10-01,370
2019-11-01,388
2019-12-01,362
2020-01-01,398
2020-02-01,406
2020-03-01,391
2020-04-01,224
2020-05-01,258
2020-06-01,266
2020-07-01,329
2020-08-01,538
2020-09-01,339
2020-10-01,346
2020-11-01,319
2020-12-01,323
2021-01-01,388
2021-02-01,304
2021-03-01,386
2021-04-01,355
2021-05-01,313
2021-06-01,404
2021-07-01,397
2021-08-01,373
2021-09-01,351
2021-10-01,374
2021-11-01,394
2021-12-01,387
2022-01-01,379
2022-02-01,394
2022-03-01,389
2022-04-01,392
2022-05-01,395
2022-06-01,419
2022-07-01,450
2022-08-01,394
2022-09-01,399
2022-10-01,392
2022-11-01,431
2022-12-01,407
2023-01-01,435
2023-02-01,376
2023-03-01,381
2023-04-01,385
2023-05-01,403
2023-06-01,402
2023-07-01,374
2023-08-01,389
2023-09-01,371
2023-10-01,387
2023-11-01,382
2023-12-01,402
2024-01-01,391
2024-02-01,388
2024-03-01,381
2024-04-01,355
2024-05-01,369
2024-06-01,332
2024-07-01,376
2024-08-01,368
2024-09-01,349
2024-10-01,362
2024-11-01,346
2024-12-01,375
2025-01-01,371
2025-02-01,350
2025-03-01,349
2025-04-01,357
2025-05-01,356
2025-06-01,331
2025-07-01,321
2025-08-01,321
2025-09-01,346
2025-10-01,341
2025-11-01,295
2025-12-01,314
